Name,Etiology,Symptoms
ankle fractures,"Pathophysiology
mechanism of injury
twisting injury
Associated conditions
orthopedic
open fractures (2%)
syndesmotic injury (10%)
chondral injury
peroneal tendon tears (4%)","severe ankle pain
difficulty or inability to ambulate"
atlantoaxial rotatory displacement aard,"Mechanism
spectrum of disease that ranges from mild subluxation to fixed facet dislocation
Pathophysiology
common causes include
infection (~35%)
may have history of pharyngitis or otitis media
Grisel's disease is the condition of AARD following a respiratory infection or retropharyngeal abscess
thought to be linked to lymphatic edema in area of cervical spine
trauma (~24%)
recent head or neck surgery (~20%)
idiopathic
associated conditions
Down's syndrome
rheumatoid arthritis
tumors
congenital anomalies
pathoanatomy
mechanism is thought to be related to ligamentous laxity
transverse ligament integrity
transverse ligament is intact
spinal canal stenosis can only occur with severe rotation and facet dislocation
transverse ligament is ruptured
and there is a component of anterolithesis (> 5mm), then spinal canal stenosis can occur with less rotation (45 degrees)
vertebral arteries may also be at risk","tilted head
neck pain
headache"
duchenne muscular dystrophy,"Pathophysiology
dystrophin
expressed in striated and cardiac muscle, brain, and retina
large cytoskeletal protein
critical component of dystrophin-glycoprotein complex (DGC), important for structural units of muscle
dystrophin absence leads to
loss of DGC leading to excessive membrane fragility and permeability
dysregulation of calcium homeostasis
oxidative damage
poor muscle fiber regeneration
repeated cycles of necrosis and regeneration
regenerative capacity diminishes with age
progressive replacement of muscle tissue with fibrous and fatty tissue
skeletal and cardiac muscle lose elasticity and strength
Genetics
X-linked recessive
Xp21.2
dystrophin gene
defect due to point deletion and nonsense mutation
one third of cases result from spontaneous mutations
carrier females typically unaffected, however 2.5-20% of female carriers may still show symptoms
Lyon hypothesis
normal X chromosome inactivated, X chromosome with mutation is expressed
Associated conditions
orthopaedic manifestations
calf pseudohypertrophy
scoliosis
equinovarus foot deformity
joint contractures
nonorthopaedic conditions
cardiomyopathy
static encephalopathy","early development
typically normal within first few years
delayed milestones
slower growth velocity
may present with mild hypotonia or poor head control
progressive weakness
affecting proximal muscles first (begins with
gluteal
muscle weakness)
gait abnormalities begin around age 2 to 3 years
delayed walking
toe walking
clumsy, waddling gait
difficulty climbing stairs, hopping, or jumping
decreased motor skills
mild intellectual impairment
pharyngeal weakness
aspiration, nasal regurgitation of liquids, and nasal quality of voice
less common presentations
incontinence of urine and stool (late manifestation)
malignant hyperthermia"
raynauds syndrome,"Pathophysiology
periodic digital ischemia due vasoconstriction induced by
cold temperature
or
sympathetic stimuli
including pain or
emotional stress
t
riphasic color change
(white-blue-red progression)
digits turn white from vasospasm and interruption of blood flow
blue discoloration follows from cyanosis and venous stasis
finally digits turn red as a result of rebound hyperemia
dysesthesias often follow color changes","asymmetric findings
rapid progression"
traumatic anterior shoulder instability tubs,"Pathophysiology
mechanism of injury
anteriorly directed force on the arm when the
shoulder is abducted and externally rotated
pathoanatomy
""on-track"" versus ""off-track"" concept of Hill-Sachs lesion (instability as a bipolar concept)
Hill-Sachs defect is ""off-track"" and will ""engage"" on the glenoid if the size of the Hill-Sachs defect > glenoid articular track (HSI > GT)
conversely, the Hill-Sachs defect is ""on track"" and will NOT ""engage"" if the size of the Hill-Sachs defect < glenoid articular track (HSI < GT)
Glenoid Track (GT) = 0.83D-d (D = diameter of inferior glenoid, d = width of anterior glenoid bone loss)
Hill-Sachs Interval (HSI) = HS+BB (HS = width of the Hill-Sachs, BB = width of bony bridge)
may have implications regarding surgical management
goal is to convert on off-track lesion into an on-track lesion
Associated injuries
orthopaedic
labrum & cartilage Injuries
bankart lesion
is an avulsion of the anterior labrum and anterior band of the IGHL from the anterior inferior glenoid.
is present in 80-90% of patients with TUBS
humeral avulsion of the glenohumeral ligament (HAGL)
occurs in patients slightly older than those with Bankart lesions
also found in female collegiate athletes
associated with a higher recurrence rate if not recognized and repaired
an indication for possible open surgical repair
glenoid labral articular defect (GLAD)
is a sheared off portion of articular cartilage along with the labrum
presence is a
risk factor for failure
following arthroscopic stabilization procedures
anterior labral periosteal sleeve avulsion (ALPSA)
can cause torn labrum to heal medially along the medial glenoid neck
associated with higher failure rates following arthroscopic repair
common finding in patients with recurrent instability managed nonoperatively
97% of patients with recurrent instability have either a Bankart or ALPSA lesion
fractures & bone Defects
bony bankart lesion
is a fracture of the anterior inferior glenoid
present in up to 49% of patients with recurrent dislocations
higher risk of failure of arthroscopic treatment if not addressed
defect >20-25% is considered ""critical bone loss"" and is biomechanically highly unstable
stability cannot be restored with soft tissue stabilization alone (unacceptable >2/3 failure rate)
requires bony procedure to restore bone loss (Latarjet-Bristow, other sources of autograft or allograft)
recent studies
suggest critical bone loss may be as low as 13.5%
each dislocation event causes, on average, 6.8% bone loss
glenoid takes on an inverted-pear appearance as bone loss increases
89% failure rate following arthroscopic repair in patients with this glenoid morphology
Hill-Sachs defect
is a chondral impaction injury in the posterosuperior humeral head secondary to contact with the glenoid rim.
is present in 80%-100% of traumatic dislocations and 25% of traumatic subluxations
is not clinically significant unless it engages the glenoid
greater tuberosity fracture
is associated with anterior dislocation in patients > 50 years of age
increases risk of recurrence
lesser tuberosity fracture
is associated with posterior dislocations
nerve injuries
axillary nerve injury
is most often a transient neurapraxia of the axillary nerve
present in up to 5% of patients
rotator cuff tears
30% of TUBS patients > 40 years of age
80% of TUBS patients > 60 years of age
medical
global hyperlaxity (i.e. Ehlers-Danlos Syndrome, collagen disorders)
often associated with atraumatic instability
global hyperlaxity confers an odds ratio (OR) of 2.68 for the development of anterior shoulder instability
individuals with global hyperlaxity have a 3x higher rate of recurrent instability
patients with global hyperlaxity are less likely to develop capsulolabral lesions","traumatic event causing dislocation
feeling of instability
shoulder pain complaints
caused by subluxation and excessive translation of the humeral head on the glenoid"
osgood schlatters disease tibial tubercle apophysitis,"Pathophysiology
stress from extensor mechanism","pain
on anterior aspect of knee
exacerbated by kneeling"
femoral neck fracture nonunion,"Pathophysiology
mechanism of injury
initial femoral neck fracture occurs due to high energy trauma in the younger population, and ground-level falls in the elderly
nonunion occurs after fracture displacement and/or hardware failure before bony consolidation
pathoanatomy
femoral neck fractures are intracapsular, placing them at higher risk for nonunion than other hip fractures
lack periosteal or extraosseous blood supply
bathed in synovial fluid which deters fracture healing
healing is intra-osseous only (no callus formation)
achieving and maintaining anatomic reduction is essential
Associated conditions
orthopaedic conditions
avascular necrosis (AVN)
femoral neck malunion
hardware failure
surgical site infection leading to septic nonunion
medical conditions or comorbidities
low bone mineral density","persistent groin/buttock pain
pain with weight bearing
pain with hip extension
pain may radiate down medial thigh/knee"
radial head and neck fractures  pediatric,"Pathophysiology
mechanism
usually associated with an
extension and
valgus loading injury
of the elbow
elbow dislocation
Associated conditions
elbow dislocation
olecranon fracture
medial epicondyle fracture
forearm compartment syndrome","elbow pain
refusal to move"
isolated ulnar shaft fracture,"Pathophysiology
mechanism of injury
direct trauma
direct blow to forearm (""nightstick"" fracture)
indirect trauma
motor vehicle accidents
falls from height
axial load applied to the forearm through the hand
Associated conditions
elbow and DRUJ injuries
Monteggia fractures
Essex-Lopresti injuries
compartment syndrome
evaluate compartment pressures if concern for compartment syndrome","pain and swelling
loss of forearm and hand function"
lunate dislocation perilunate dissociation,"Mechanism of injury
traumatic, high energy
occurs when wrist extended and ulnarly deviated
leads to intercarpal supination
Pathoanatomy
sequence of events
scapholunate ligament disrupted -->
disruption of capitolunate articulation -->
disruption of lunotriquetral articulation -->
failure of dorsal radiocarpal ligament -->
lunate rotates and dislocates,
usually into carpal tunnel
dislocation can course through
greater arc
ligamentous disruptions with associated fractures of the radius, ulnar, or carpal bones
lesser arc
purely ligamentous
Categories
perilunate dislocation
lunate stays in position while carpus dislocates
4 types
transcaphoid-perilunate
perilunate
transradial-styloid
transcaphoid-trans-capitate-perilunar
lunate dislocation
lunate forced volar or dorsal while carpus remains aligned","acute wrist swelling and pain
median nerve symptoms may occur in ~25% of patients
most common in Mayfield stage IV where the lunate dislocates into the carpal tunnel"
talus fracture other than neck,"Mechanism
talar body
injuries often result from high energy trauma, with the hindfoot either in supination or pronation
lateral process of talus
injuries result from forced dorsiflexion, axial loading, and eversion with external rotation
often seen in snowboarders","pain
lateral process fractures often misdiagnosed as ankle sprains"
burners and stingers,"Pathoanatomy
neurapraxias are caused by different mechanisms including
traction injury
occurs by downward displacement of arm and bending of neck away from side of injury
compression injury
occurs by lateral head turning toward affected side
direct blow
can cause injury with blow at Erb's point superior to the clavicle","unilateral
tingling
in arm not typically isolated to a single dermatome
usually resolve quickly in 1-2 minutes"
adult isthmic spondylolisthesis,"Pathophysiology
foraminal stenosis
adult isthmic spondylolisthesis at L5/S1 often leads to radicular symptoms caused by compression of the exiting L5 nerve root in the L5-S1 foramen
compression can be caused by
hypertrophic fibrous repair tissue of the pars defect
uncinate spur formation of the posterior L5 body
bulging of the L5/S1 disc
lateral recess stenosis
caused by facet arthrosis and hypertrophic ligamentum flavum
c
entral stenosis
rare due to fact that these slips are usually only Grade I or II","axial back pain
most common presentation
pain usually has a long history with periodic episodes that vary in intensity and duration
leg pain
usually a L5 radiculopathy usually caused by foraminal stenosis at the L5-S1 level
neurogenic claudication
caused by spinal stenosis
characterized by buttock and leg pain worse with walking
symptoms of neurogenic claudication rare because these slips rarely progress beyond Grade II
cauda equina syndrome
rare because these slips rarely progress beyond Grade II"
calcific tendonitis,"Pathophysiology
unknown etiology
pathoanatomy
three stages of calcification
precalcific
fibrocartilaginous metaplasia of the tendon
clinically this stage is pain-free
calcific
subdivided into three phases
formative phase
characterized by cell-mediated calcific deposits
+/- pain
resting phase
lacks inflammation or vascular infiltration
+/- pain
resorptive phase
characterized by a phagocytic resorption and vascular infiltration
clinically this phase is
most
painful
postcalcific
cellular biochemistry
calcium hydroxyapatite
crystals are deposited
key molecular pathways involved
osteopontin
cathepsin K
transglutaminase 2","atraumatic pain
(most severe in resorptive phase)
catching, crepitus
mechanical block"
larsens syndrome,"Genetics
autosomal dominant (AD) and recessive (AR) inheritance patterns
AD linked to a mutation of the gene encoding
filamin B
AR linked to
carbohydrate sulfotransferase 3
deficiency
Associated conditions
orthopaedic manisfestations
hand deformities
dislocations
hips
knees (usually bilateral)
shoulders
elbows (radial head)
scoliosis
clubfeet
cervical kyphosis
may present with extremity weakness secondary to myelopathy
caused by hypoplasia of the cervical vertebrae",patients have normal intelligence
unicameral bone cyst,"Pathophysiology
reactive bone lesion that arises in the
metaphysis adjacent to physis
and progresses toward the diaphysis with bone growth
forms due to venous stasis in cancellous bone leading to bone resorption
increased pressure and inflammatory proteins within cyst fluid
increased levels of lysosomal enzymes versus serum levels
resolution of the cyst typically occurs after losing connection with the physis
Genetics
no known genetic associations","most asymptomatic (~80%) unless fracture occurs (usually with minor trauma)
presents with localized pain from a pathologic fracture in ~50-75% of cases
most common cause of pathologic fracture in children
swelling"
discogenic back pain,"Mechanism
disc characteristics modified by bone morphogenic proteins","axial low back pain without radicular symptoms
pain exacerbated by
bending
sitting
axial loading"
diabetic charcot neuropathy,"Mechanism and pathophysiology
theories
neurotraumatic
insensate joints subjected to
repetitive microtrauma
body unable to adopt protective mechanisms to compensate for microtrauma due to abnormal sensation
neurovascular
autonomic dysfunction
increases blood flow
through AV shunting
leads to bone resorption and weakening
molecular biology
inflammatory cytokines may cause destruction
IL-1 and TNF-alpha lead to increased production of
transcription factor-kB
RANK/RANKL/OPG triad pathway
Associated conditions
orthopaedic manifestations
foot ulcerations","swollen foot and ankle
pain in 50%, painless in 50%
loss of function"
tha leg length discrepancy,"Mechanism
contracture leads to pelvic obliquity
ABDuction contracture causes involved hemipelvis to be lower, creating apparent LONG leg
ADDuction contracture causes involved hemipelvis to be higher, creating apparent SHORT leg
weakness
weak abductors may provide the sensation of a long leg in the absence of true LLD
usually resolve within 3-6 months post-operatively
Prevention
pre-operative planning reduces incidence of post-operative discrepancies",patient may feel perceived LLD  despite anatomic equality
degenerative spondylolisthesis,"Pathoanatomy
forward subluxation (intersegmental instability) of vertebral body is allowed by
facet joint degeneration
facet joint sagittal orientation
intervertebral disc degeneration
ligamentous laxity
(possibly from hormonal changes)
degenerative cascade involves
disc degeneration leads to facet capsule degeneration and instability
microinstability which leads to further degeneration and eventual macroinstability and anterolithesis
instability is worsening with sagittally oriented facets (congenital) that allow forward subluxation
neurologic symptoms caused by
central and lateral recess stenosis
a degenerative slip at L4/5 will affect the
descending
L5 nerve root in the lateral recess
caused by slippage, hypertrophy of ligamentum flavum, and encroachment into the spinal canal of osteophytes from facet arthrosis
foraminal stenosis
a degenerative slip at L4/5 will affect the
L4 nerve root
as it is compressed in the foramen
vertical foraminal stenosis (loss of height of foramen) caused by
loss of disk height
osteophytes from posterolateral corner of vertebral body pushing the nerve root up against the inferior surface of the pedicle
anteroposterior foraminal stenosis (loss of anterior to posterior area) caused by
degenerative changes of the superior articular facet and posterior vertebral body","mechanical/ back pain
most common presenting symptom
usually relieved with rest and sitting
neurogenic claudication & leg pain
second most common symptoms
defined as buttock and leg pain/discomfort caused by upright walking
relieved by sitting
not relieved by standing in one place (as is vascular claudication)
may be unilateral or bilateral
same symptoms found with spinal stenosis
cauda equina syndrome (very rare)"
low back pain  introduction,"Mechanism
muscle strain
most common cause of low back pain
most common degenerative disorders
lumbar spinal stenosis
lumbar disc herniation
discogenic back pain
Risk factors
obesity, smoking, gender
lifting, vibration, prolonged sitting
job dissatisfaction
Red flags
infection (IV drug user, h/o of fever and chills)
tumor (h/o or cancer)
trauma (h/o car accident or fall)
cauda equina syndrome (bowel/bladder changes)
Outcomes
90% of low back pain resolves within one year","axial pain
musculogenic
most common cause of back pain
associated with activity
characterized by stiffness and difficulty bending
discogenic pain
controversial
confirmed by discogram
mechanical pain
caused by
facet degeneration
micro and macro instability
worse with activity such as lifting objects and prolonged standing
sacroiliac symptoms
pain originating from sacroiliac joint
peripheral / neurogenic
radicular pain
unilateral leg pain
usually dermatomal
referred pain
buttocks
posterior thighs
inguinal region (think L5-S1)
neurogenic claudication
pain in buttock and legs that is worse with prolonged standing
fairly specific for spinal stenosis
myelopathy
clumsiness in hands
gait instability
due to injury of spinal cord (~ L1 or above)
conus medullaris syndrome
cauda equina syndrome
bilateral leg pain
LE weakness
saddle anesthesia
bowel/bladder symptoms
spinal cord injury
incomplete
complete"
tka revision,"Most common causes of failure
infection
should always be ruled out prior to any revision
considered the most common reason for revision TKA overall based on national database epidemiology studies
when categorized further, infection is the most common cause of early (<2 years from primary) failure
aseptic component loosening
aseptic loosening is the second most common reason for revision TKA overall based on national database epidemiology studies
when categorized further, aseptic loosening is the most common cause of late (>2 years from primary) failure
tibial loosening more common than femoral
femoral loosening more difficult to detect due to obscured view of posterior femoral condyles where lesions typically occur
oblique radiographs may help identify
detected on
serial radiographs
osteolytic wear
most common in uncemented technique
motion between modular tibial insert and metal tray
(backside wear)
newer studies show decreased aseptic revision with modern cementless TKA components in morbidly obese patients
ligament/flexion instability (~8%)
MCL/LCL incompetence can to lead to laxity
flexion instability
PCL attenuation (in CR knees)
unbalanced flexion gap
excessive posterior slope
undersized femoral component
femoral component placed in excessive extension
periprosthetic fracture (~5%)
most commonly supracondylar femur region
need for revision due to combination of excessive comminution/bone loss with loose component
arthrofibrosis (~5%)
patellofemoral maltracking
most commonly caused by
component malpositioning
abnormal joint line problems
patellar clunk
fibrotic scar tissue that 'clunks' as the knee moves from flexion into extension and patella jumps the femoral notch
arthroscopic treatment to remove fibrotic tissue
metal hypersensitivity","temporal course is crucial:
pain
persistent since index procedure or new onset pain (may indicate potential acute vs. chronic infection)
pain with weight bearing indicates likely mechanical etiology
stiffness
instability
environment of instability (i.e. stairs, level ground, rising from chair)"
chondroblastoma,"Pathophysiology
bengin proliferation of immature cartilage cells (chondroblasts) that are locally destructive
thought to arise from cartilaginous epiphyseal plate, but histogenesis is controversial
chondroblasts produce areas of chondroid matrix, but
hyaline cartilage is rarely produced
Recurrent chondroblastomas can show cellular atypia, but this is usually not equivalent to malignant transformation
Genetics
no principally defining mutations
mutations in histone H3.3 are described
abnormalities on chromosomes 5 and 8 are common
Associated conditions
pulmonary metastasis
<1% develop ""benign"" pulmonary metastasis
similar to giant cell tumor in this regard
treatment may be observation or surgical resection
secondary Aneurysmal Bone Cyst (ABC)
up to 1/3 of chondroblastomas have areas of secondary ABC","pain
progressive pain
at tumor site
joint stiffness
limp"
snapping hip coxa saltans,"Mechanism
3 types of snapping hip exist with different causes
external snapping hip
most common form
caused by iliotibial tract sliding over greater trochanter
internal snapping hip
caused by iliopsoas tendon sliding over
femoral head
prominent iliopectineal ridge
exostoses of lesser trochanter
iliopsoas bursa
intra-articular snapping hip
caused by
loose bodies in the hip
may be seen with synovial chondromatosis
labral tears","snapping sensation
in and around hip joint
may be
painful or painless
patient often able to reproduce snapping
aggravated by activity
clicking or locking sensation
more indicative of
intra-articular pathology"
femoral neck fractures,"Pathophysiology
healing potential
femoral neck is intracapsular, bathed in synovial fluid
lacks periosteal layer
callus formation limited, which affects healing
Mechanism
high energy in young patients
low energy falls in older patients
Associated injuries
femoral shaft fractures
6-9% associated with femoral neck fractures
treat femoral neck first followed by shaft","impacted and stress fractures
slight pain in the groin or pain referred along the medial side of the thigh and knee
displaced fractures
pain in the entire hip region"
rotator cuff tears,"Pathophysiology
mechanisms of tear includes
chronic degenerative tear (
intrinsic degeneration is the primary etiology)
usually seen in older patients
usually involves the SIT (supraspinatus, infraspinatus, teres minor) muscles but may extend anteriorly to involve the superior margin of subscapularis tendon in larger tears
chronic impingement
typically starts on the bursal surface or within the tendon
acute avulsion injuries
acute subscapularis tears seen in younger patients following a fall
acute SIT (supraspinatus, infraspinatus, teres minor) tears seen in patients > 40 yrs with a shoulder dislocation
full thickness rotator cuff tears need to be repaired in throwing athletes
iatrogenic injuries
due to failure of surgical repair
often seen in repair failure of the subscapularis tendon following open anterior shoulder surgery.
Impingement and rotator cuff disease are a continuum of disease including
subacromial impingement
subcoracoid impingement
calcific tendonitis
rotator cuff tears
(this topic)
rotator cuff arthropathy
Associated conditions
AC joint pathology
proximal biceps subluxation
proximal biceps tendonitis
internal impingement
seen in overhead throwing athletes
associated with partial thickness rotator cuff tears
deceleration phase of throwing leads to tensile forces and potential for rotator cuff tears","pain
typically insidious onset of pain exacerbated by
overhead activities
pain located in deltoid region
night pain,
which is a
poor indicator for nonoperative management
can have acute pain and weakness with an traumatic tear
weakness
loss of active ROM with greater or intact passive ROM"
radial head fractures,"Pathophysiology
mechanism of injury
fall on an outstretched hand
elbow in extension
and
forearm in pronation
leads to most force transmitted from wrist to radial head
higher energy trauma may result in associated injuries
Associated conditions
incidence
30% have associated soft tissue or skeletal injuries
types
ligamentous/ interosseous injuries
lateral collateral ligament (LCL) injury
most common (up to 80% on MRI)
medial collateral ligament (MCL) injury
Essex-Lopresti injury
radial head fracture
distal radioulnar joint (DRUJ) injury
interosseus membrane injury
elbow fractures & dislocations
coronoid fracture
olecranon fracture
Monteggia fracture/dislocation
terrible triad
posterolateral elbow dislocation
radial head fracture
coronoid fracture
carpal fractures
scaphoid fracture","common symptoms
pain
pain and tenderness along lateral aspect of elbow
ipsilateral wrist, forearm, and shoulder pain with associated injuries
limited elbow or forearm motion
particularly supination/pronation"
acromioclavicular joint injury,"Pathophysiology
mechanism
direct blow to the shoulder
often sustained while falling onto the shoulder","pain
usually over AC joint
can also be referred to the trapezius"
elbow stiffness and contractures,"Pathophysiology
causes of elbow stiffness and contractures include
osteoarthritis
trauma
(fractures)
surgery
cerebral palsy
traumatic brain injury
burns
prolonged immobilization
congenital conditions
arthrogryposis
congenital radial head dislocation
pathoanatomy
intrinsic causes
joint incongruity
synovitis
loose bodies
intra-articular fractures
malunions
osteochondritis dissecans
post-traumatic arthritis
coronoid osteophytes
olecranon tip osteophytes
radiocapitellar joint space narrowing
extrinsic causes
formation of eschar following a burn
heterotopic ossification
adhesions/contraction of the capsule
ligament contractures
scarring of
posterior oblique portion of medial ulnar collateral ligament
mixed (intrinsic + extrinsic)
late effects of intrinsic conditions can lead to extrinsic stiffness","pain
pain in mid-arc of motion may indicate intra-articular pathology
extrinsic soft tissue contractures typically painful at the extremes of flexion and extension where bone impingement and soft tissue stretching may occur
decreased motion
often
l
imits activities of daily living"
fibrous dysplasia,"Pathophysiology
failure of primitive
        bone to remodel to mature lamellar bone and reorganize
results in an isolated
        area of immature trabecular bone in dysplastic fibrous tissue that does
        not mineralize normally or remodel
in response to mechanical stress
due to GNAS mutation
lesions typically are
        active and expand during childhood before becoming inactive upon
        skeletal maturity
monostotic lesions
         grow in proportion to skeletal growth
polyostotic lesions
         grow in proportion to the extent of disease severity
Genetics
inheritance pattern
spontaneous missense mutation
results in somatic mosaicism
no risk of vertical transmission
the time of mutation is associated with the extent and severity of the disease
associated with an activating
GNAS missense mutation
Gs
?-
protein (chromosome 20q13) activating
mutation causes upregulation of WNT/B-catenin pathway
increased WNT/B-catenin proteins
inhibits maturation/differentiation of osteoprogenitor cells
upregulation of NF-kB and IL-6 from mutated osteoclastic
         cells increases bone resorption and production of disorganized collagenous
         matrix
increases FGF-23 leading to renal phosphate
          wasting, hypophosphatemia, and osteomalacia
this leads to bone marrow stromal cells with impaired ability
         to terminally differentiate into mature osteoblasts and hematopoietic
         supporting stroma
Associated conditions
orthopedic manifestations
McCune Albright syndrome
condition defined by the presence of:
café-
au-lait
lesions
jagged and irregularly bordered macules found most commonly on the trunk/back
""coast of Maine"" pattern
typically respect and do not cross the midline
endocrine abnormalities
precocious puberty
most common presenting symptom in females
85% of females with McCune Albright Syndrome
recurrent ovarian cysts
autonomous testosterone production
excess growth hormone
thyroid abnormalities
66% of patients with McCune Albright Syndrome
neonatal hypercortisolism
polyostotic fibrous dysplasia
obtain
spine radiographs
to look for scoliosis
60%
will have spinal involvement, most commonly in the posterior elements
Mazabraud syndrome
polyostotic fibrous dysplasia
soft-tissue intramuscular myxomas
Jaffe-Lichenstein syndrome
polyostotic
fibrous dysplasia
café-au-lait lesions
distinguished from McCune Albright syndrome by lack of endocrinopathies
Osteofibrous dysplasia
rare form that primarily affects the tibia and is confined to the cortices
non-orthopedic manifestations
severe
cranial deformities leading to cosmetic deformities, blindness, hearing loss,
and airway obstruction","usually asymptomatic and discovered as an incidental finding
may have swelling or deformity
primarily
        in setting of pathologic fracture
localized pain
more common in lesions
        in high-stress areas
female patients can have increased pain during pregnancy and their menstrual cycle due to estrogen receptors within the fibrous dysplasia"
lateral condyle fracture  pediatric,"Pathophysiology
mechanism of injury
pull-off theory
avulsion fracture of the lateral condyle that results from the pull of the common extensor musculature
push-off theory
fall onto an outstretched hand causes impaction of the radial head into the lateral condyle causing fracture
pathoanatomy
fractures originate proximally at the posterior aspect of the distal humerus metaphysis and extend distally and anteriorly across the physis and epiphysis into the elbow joint
fracture may extend medially into the trochlear groove, making the elbow unstable and prone to dislocation
posteromedial elbow dislocation
result of FOOSH with slight elbow flexion and adduction force
rare concomitant injury pattern","location
lateral elbow pain and swelling
severity
may be subtle if fracture is minimally displaced"
hip dislocation,"Pathophysiology
mechanism is usually young patients with high energy trauma
Pathoanatomy
Hip joint inherently stable due to
bony anatomy
soft tissue constraints including
labrum
capsule
ligamentum teres","acute pain, inability to bear weight, deformity"
ganglion cysts,"Mechanism
trauma
mucoid degeneration
synovial herniation
Pathophysiology
filled with fluid from tendon sheath or joint
no true epithelial lining
Associated conditions
median or ulnar nerve compression
may be caused by volar ganglion
hand ischemia due to vascular occlusion
may be caused by volar ganglion","usually asymptomatic
may cause issues with cosmesis"
tarsal navicular fractures,"Navicular fractures can be
traumatic
navicular avulsion fractures
mechanism is plantarflexion or eversion/inversion
can involve talonavicular or naviculocuneiform ligaments
navicular tuberosity fractures
mechanism is eversion with simultaneous contraction of PTT
may represent an acute widening/diastasis of an accessory navicular
navicular body fractures
mechanism is axial loading
stress fracture
mechanism of injury is usually due to chronic overuse
often seen in athletes running on hard surfaces
also common in baseball players
considered a high risk injury due to
risk of AVN
most common complications include delayed union and non-union
Spontaneous navicular AVN (Mueller-Weiss syndrome)
Spontaenous navicular AVN is a rare disease that and can be seen in middle aged adults with chronic midfoot pain",vague midfoot pain and swelling
tibial eminence fracture,"Pathophysiology
traumatic mechanism
rapid deceleration or hyperextension/rotation of the knee, as in sports
same mechanism that would cause
ACL tear in adult
fall from bike or motorcycle (typically resulting in hyperextension)
Associated conditions
occur in
40% of eminence fractures
meniscal injury
collateral ligament injury
capsular damage
osteochondral fracture","severe swelling and pain in the knee
inability to bear weight"
posteromedial tibial bowing,"Genetics
no known genetic association
Associated conditions
calcaneovalgus foot
posteromedial bowing is often confused with calcaneovalgus foot, another condition caused by intrauterine positioning
the two conditions may occur together or independently of each other",presents at birth
extra abdominal desmoid tumor,"Genetics
patient's with
familial adenomatous polyposis
(FAP) have increased risk for development of desmoid tumors
15% of tumors have adenomatous polyposis coli (APC) gene mutation (gene controls beta catenin)
elevated levels of
beta catenin
in all tumors
trisomy in
chromosome 8 or 20
Associated conditions
Dupuytren contractures
Ledderhose disease
familial adenomatous polyposis (FAP)
Gardner syndrome","Presentation
usually an enlarging mass
nerve compression
numbness, tingling, motor weakness, stabbing pain
Physical exam
has a distinctive ""rock hard"" feel on palpation
because tumor is fixed to surrounding tissues
poorly circumscribed
may be painful and limit motion around joint"
scheuermanns kyphosis,"Pathoanatomy
exact pathophysiology is unknown but several theories
osteonecrosis of anterior apophyseal ring
herniation of disc material leading to loss of anterior disc height
relative osteoporosis leading to compression deformity
altered biomechanics leading to anterior wedging and subsequent growth arrest
most widely accepted theory suggests that the kyphosis and vertebral wedging are caused by a developmental error in collagen aggregation which results in an abnormal end plate
Genetics
autosomal dominant
inheritance pattern now accepted
Associated conditions
orthopaedic manifestations
Lumbar hyperlordosis
spondylolysis in lumbar region (33%)
scoliosis (33%)
dural cysts
compensatory tightness of anterior shoulder, hamstrings, and iliopsoas muscle
non-orthopaedic manifestations
pulmonary issues in curves exceeding 100 degrees","may complain of thoracic or lumbar pain
cosmetic concerns"
intramuscular myxomas,"Mechanism
likely develop from premature mesenchymal stem cells which differentiate into benign fibroblasts which loose their capacity to secrete collagen
Associated conditions
Mazabraud's syndrome
a syndrome characterized by multiple intramuscular myxomas associated with monostotic or polyostotic fibrous dysplasia
myxoid liposarcomas
important to differentiate from a myxoid liposarcomas, which occurs in an intermuscular location","slowly growing mass
may or may not be painful
pain in soft tissue sarcomas is often based on compression of surrounding tissues like vessels or nerves"
scapula fractures,"Pathophysiology
mechanism of injury
high-energy trauma (80-90%)
motor vehicle collisions
account for >70% of scapula fractures
indirect trauma through fall on outstretched hand
glenohumeral dislocation
anterior dislocation
leads to
anterior rim fracture
posterior dislocation
leads to
posterior rim fracture
seizure
electric shock
Associated injuries (in 80-95%)
medical
thoracic injury (80%)
hemothorax/pneumothorax (>30%)
pulmonary contusion (>40%)
head injury (35-50%)
orthopaedic
rib fractures (53%)
ipsilateral extremity injury (50%)
ipsilateral clavicle fractures (25%)
spine fracture (26-30%)
pelvic ring/acetabular fractures (15%)
scapula fracture is important predictor
upper extremity vascular injury (11%)
subclavian and axillary arteries at risk
higher risk with scapulothoracic dissociation
brachial plexus injury (5-13%)
75% of brachial plexus injuries resolve
complete brachial plexus injuries less likely to resolve","diffuse, severe shoulder pain
systemic symptoms
shortness of breath
chest wall pain"
adamantinoma,"Pathophysiology
unknown
Associated conditions
osteofibrous dysplasia
historically, it was thought that osteofibrous dysplasia (OFD) was a precursor to this adamantinoma, however current studies have cast doubt on this theory","pain
of months to years duration"
sagittal band rupture,"Mechanism
traumatic
forceful resisted
flexion
or
extension
laceration
of extensor hood
direct blow to MCP joint
atraumatic
inflammatory (e.g. rheumatoid arthritis)
spontaneously during routine activities
Associated conditions
MCP joint collateral ligament injuries","pain
MCP soreness
swelling
focal MCP swelling or tenderness
snapping senstion with extension"
